Title,Artist,Album,Genre,Length
Beautiful Day,U2,All That You Can't Leave Behind,Rock,4:05
Dancing in the Moonlight,Toploader,Onka's Big Moka,Pop,3:53
Smooth,Santana ft. Rob Thomas,Supernatural,Rock,4:58
Watermelon Sugar,Harry Styles,Fine Line,Pop,2:54
Bohemian Rhapsody,Queen,A Night at the Opera,Rock,5:55
Sunny Day,The Sunshine Band,Happy Vibes,Pop,3:20
Electric Dream,Techno Beats,Future Sounds,Electronic,4:30
Midnight Jazz,Smooth Jazz Trio,Late Night Jazz,Jazz,5:10
Lost in the Woods,Forest Wanderers,Wilderness Symphony,Classical,6:45
Golden Memories,Oldies Ensemble,Timeless Classics,Oldies,3:15
City Lights,Urban Beats,Concrete Jungle,Hip Hop,4:40
Moonlit Serenade,Orchestra Harmony,Enchanted Evening,Classical,4:25
Ocean Waves,Relaxation Sounds,Calming Waters,Relaxation,6:00
Funky Groove,The Groovy Band,Get Up and Dance,Funk,3:45
Sunset Serenity,Acoustic Harmony,Peaceful Moments,Acoustic,4:20
Epic Adventure,Orchestra Epic,Heroic Journeys,Orchestral,7:30
Echoes of Eternity,Enigma Soundscapes,Mystical Realms,New Age,5:40
Lost in Translation,Indie Dreamers,Alternative Visions,Indie,3:58
Rainy Day Blues,Blues Express,Soulful Blues,Blues,4:15
Galactic Journey,Space Explorers,Interstellar Travels,Space,6:15
